id	disposition	duplicateOf	evidence
p3:raw_extraction_marker:cb-fresh-002-jordan-hale:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx15竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:cb-fresh-002-jordan-hale:api	proven_duplicate	p3:raw_extraction_marker:cb-fresh-002-jordan-hale:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00032:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00032:api	proven_duplicate	p3:raw_extraction_marker:sc-00032:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-0003e:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-0003e:api	proven_duplicate	p3:raw_extraction_marker:sc-0003e:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00044:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00044:api	proven_duplicate	p3:raw_extraction_marker:sc-00044:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00056:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00056:api	proven_duplicate	p3:raw_extraction_marker:sc-00056:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00062:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00062:api	proven_duplicate	p3:raw_extraction_marker:sc-00062:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00068:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00068:api	proven_duplicate	p3:raw_extraction_marker:sc-00068:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-0006e:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-0006e:api	proven_duplicate	p3:raw_extraction_marker:sc-0006e:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-003:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-003:api	proven_duplicate	p3:raw_extraction_marker:sim-003:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-038:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx13竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-038:api	proven_duplicate	p3:raw_extraction_marker:sim-038:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-048:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-048:api	proven_duplicate	p3:raw_extraction_marker:sim-048:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-049:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-049:api	proven_duplicate	p3:raw_extraction_marker:sim-049:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-069:copy	safely_omitted		Defects in P3 first-16 batch (1): len=52;hash=220bf0b5851c@idx15竊痴afely_omitted竊値en=161;hash=241cadbbbdff
p3:raw_extraction_marker:sim-069:api	proven_duplicate	p3:raw_extraction_marker:sim-069:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=52;hash=220bf0b5851c:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:raw_extraction_marker:sim-115:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-115:api	proven_duplicate	p3:raw_extraction_marker:sim-115:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-129:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx13竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-129:api	proven_duplicate	p3:raw_extraction_marker:sim-129:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-162:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-162:api	proven_duplicate	p3:raw_extraction_marker:sim-162:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-174:copy	reconstructed		Defects in P3 first-16 batch (2): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f; len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-174:api	proven_duplicate	p3:raw_extraction_marker:sim-174:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed; len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-184:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-184:api	proven_duplicate	p3:raw_extraction_marker:sim-184:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-200:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-200:api	proven_duplicate	p3:raw_extraction_marker:sim-200:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-215:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-215:api	proven_duplicate	p3:raw_extraction_marker:sim-215:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-226:copy	reconstructed		Defects in P3 first-16 batch (2): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f; len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-226:api	proven_duplicate	p3:raw_extraction_marker:sim-226:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed; len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-238:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-238:api	proven_duplicate	p3:raw_extraction_marker:sim-238:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-252:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-252:api	proven_duplicate	p3:raw_extraction_marker:sim-252:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-266:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-266:api	proven_duplicate	p3:raw_extraction_marker:sim-266:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-278:copy	reconstructed		Defects in P3 first-16 batch (2): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f; len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-278:api	proven_duplicate	p3:raw_extraction_marker:sim-278:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed; len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-293:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx12竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-293:api	proven_duplicate	p3:raw_extraction_marker:sim-293:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-304:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-304:api	proven_duplicate	p3:raw_extraction_marker:sim-304:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-318:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-318:api	proven_duplicate	p3:raw_extraction_marker:sim-318:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-329:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx12竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-329:api	proven_duplicate	p3:raw_extraction_marker:sim-329:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-330:copy	reconstructed		Defects in P3 first-16 batch (2): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f; len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-330:api	proven_duplicate	p3:raw_extraction_marker:sim-330:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed; len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-356:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-356:api	proven_duplicate	p3:raw_extraction_marker:sim-356:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-363:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx12竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-363:api	proven_duplicate	p3:raw_extraction_marker:sim-363:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-370:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-370:api	proven_duplicate	p3:raw_extraction_marker:sim-370:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-373:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx12竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-373:api	proven_duplicate	p3:raw_extraction_marker:sim-373:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-382:copy	reconstructed		Defects in P3 first-16 batch (2): len=28;hash=e6e25826b9ab@idx11竊池econstructed竊値en=155;hash=14aa2a25de7f; len=28;hash=e6e25826b9ab@idx14竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-382:api	proven_duplicate	p3:raw_extraction_marker:sim-382:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed; len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sim-392:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx12竊池econstructed竊値en=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sim-392:api	proven_duplicate	p3:raw_extraction_marker:sim-392:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.